ID,location,date,age_group,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
1,Austria,8/01/2021,18-24,0.12,0
2,Austria,8/01/2021,25-49,0.39,0
3,Austria,8/01/2021,50-59,0.54,0
4,Austria,8/01/2021,60-69,0.32,0
5,Austria,8/01/2021,70-79,0.27,0
6,Austria,8/01/2021,80+,1.23,0
7,Austria,15/01/2021,18-24,0.44,0
8,Austria,15/01/2021,25-49,1.18,0
9,Austria,15/01/2021,50-59,1.81,0.01
10,Austria,15/01/2021,60-69,1.3,0
11,Austria,15/01/2021,70-79,1.29,0.01
12,Austria,15/01/2021,80+,6.05,0.02
13,Austria,22/01/2021,18-24,0.87,0.01
14,Austria,22/01/2021,25-49,2.16,0.04
15,Austria,22/01/2021,50-59,3.15,0.07
16,Austria,22/01/2021,60-69,2.11,0.06
17,Austria,22/01/2021,70-79,2.15,0.07
18,Austria,22/01/2021,80+,11.73,0.32
19,Austria,29/01/2021,18-24,1.03,0.1
20,Austria,29/01/2021,25-49,2.47,0.24
21,Austria,29/01/2021,50-59,3.54,0.37
22,Austria,29/01/2021,60-69,2.38,0.25
23,Austria,29/01/2021,70-79,2.36,0.23
24,Austria,29/01/2021,80+,14.1,1.04
25,Austria,5/02/2021,18-24,1.15,0.4
26,Austria,5/02/2021,25-49,2.68,1.06
27,Austria,5/02/2021,50-59,3.85,1.6
28,Austria,5/02/2021,60-69,2.57,1.13
29,Austria,5/02/2021,70-79,2.51,1.08
30,Austria,5/02/2021,80+,14.9,5.1
31,Austria,12/02/2021,18-24,1.52,0.8
32,Austria,12/02/2021,25-49,3.04,2.01
33,Austria,12/02/2021,50-59,4.3,2.9
34,Austria,12/02/2021,60-69,2.83,1.94
35,Austria,12/02/2021,70-79,2.72,1.87
36,Austria,12/02/2021,80+,15.83,10.29
37,Austria,19/02/2021,18-24,2,1
38,Austria,19/02/2021,25-49,3.71,2.36
39,Austria,19/02/2021,50-59,5.14,3.39
40,Austria,19/02/2021,60-69,3.34,2.25
41,Austria,19/02/2021,70-79,3.04,2.23
42,Austria,19/02/2021,80+,20.14,13.38
43,Austria,26/02/2021,18-24,2.95,1.12
44,Austria,26/02/2021,25-49,4.8,2.61
45,Austria,26/02/2021,50-59,6.44,3.76
46,Austria,26/02/2021,60-69,4.2,2.51
47,Austria,26/02/2021,70-79,3.53,2.41
48,Austria,26/02/2021,80+,27.75,14.05
49,Austria,5/03/2021,18-24,3.73,1.2
50,Austria,5/03/2021,25-49,5.87,2.76
51,Austria,5/03/2021,50-59,7.91,3.97
52,Austria,5/03/2021,60-69,5.33,2.66
53,Austria,5/03/2021,70-79,4.57,2.56
54,Austria,5/03/2021,80+,43.79,14.98
55,Austria,12/03/2021,18-24,5.12,1.25
56,Austria,12/03/2021,25-49,7.91,2.88
57,Austria,12/03/2021,50-59,10.41,4.16
58,Austria,12/03/2021,60-69,8.12,2.85
59,Austria,12/03/2021,70-79,8.14,2.84
60,Austria,12/03/2021,80+,57.4,19.14
61,Austria,19/03/2021,18-24,5.82,1.29
62,Austria,19/03/2021,25-49,9.26,2.99
63,Austria,19/03/2021,50-59,12.39,4.34
64,Austria,19/03/2021,60-69,10.99,3.09
65,Austria,19/03/2021,70-79,13.81,3.24
66,Austria,19/03/2021,80+,66.74,26.73
67,Austria,26/03/2021,18-24,6.47,1.37
68,Austria,26/03/2021,25-49,10.47,3.12
69,Austria,26/03/2021,50-59,14.22,4.63
70,Austria,26/03/2021,60-69,13.38,3.59
71,Austria,26/03/2021,70-79,19,4.02
72,Austria,26/03/2021,80+,71.78,42.21
73,Austria,2/04/2021,18-24,6.83,1.49
74,Austria,2/04/2021,25-49,11.04,3.29
75,Austria,2/04/2021,50-59,15.24,4.93
76,Austria,2/04/2021,60-69,15.03,4.22
77,Austria,2/04/2021,70-79,26.94,5.51
78,Austria,2/04/2021,80+,78.3,53.26
79,Austria,9/04/2021,18-24,7.16,2.21
80,Austria,9/04/2021,25-49,11.61,4.16
81,Austria,9/04/2021,50-59,16.35,6.1
82,Austria,9/04/2021,60-69,19.76,6
83,Austria,9/04/2021,70-79,40.45,9.05
84,Austria,9/04/2021,80+,84.06,62.57
85,Austria,16/04/2021,18-24,7.65,2.56
86,Austria,16/04/2021,25-49,12.71,4.66
87,Austria,16/04/2021,50-59,18.54,6.95
88,Austria,16/04/2021,60-69,27.72,7.62
89,Austria,16/04/2021,70-79,54.52,13.14
90,Austria,16/04/2021,80+,88.13,66.74
91,Austria,23/04/2021,18-24,8.52,2.72
92,Austria,23/04/2021,25-49,14.45,4.92
93,Austria,23/04/2021,50-59,22.29,7.35
94,Austria,23/04/2021,60-69,37.49,8.28
95,Austria,23/04/2021,70-79,63.77,15.5
96,Austria,23/04/2021,80+,90.09,71.03
97,Austria,30/04/2021,18-24,9.73,2.98
98,Austria,30/04/2021,25-49,16.35,5.23
99,Austria,30/04/2021,50-59,27.08,7.8
100,Austria,30/04/2021,60-69,48.96,9.34
101,Austria,30/04/2021,70-79,67.97,19.83
102,Austria,30/04/2021,80+,91.36,72.41
103,Austria,7/05/2021,18-24,11.7,3.56
104,Austria,7/05/2021,25-49,19.55,5.97
105,Austria,7/05/2021,50-59,34.18,8.81
106,Austria,7/05/2021,60-69,57.71,11.53
107,Austria,7/05/2021,70-79,71.52,26.4
108,Austria,7/05/2021,80+,92.85,74.52
109,Austria,14/05/2021,18-24,14,4.29
110,Austria,14/05/2021,25-49,23.04,6.91
111,Austria,14/05/2021,50-59,42.1,10.07
112,Austria,14/05/2021,60-69,64.14,13.77
113,Austria,14/05/2021,70-79,73.5,30.45
114,Austria,14/05/2021,80+,93.83,75.8
115,Austria,21/05/2021,18-24,16.81,5.38
116,Austria,21/05/2021,25-49,28.06,8.44
117,Austria,21/05/2021,50-59,49.22,12.34
118,Austria,21/05/2021,60-69,70.74,17.82
119,Austria,21/05/2021,70-79,75.48,36.32
120,Austria,21/05/2021,80+,94.93,79.87
121,Austria,28/05/2021,18-24,19.61,6.69
122,Austria,28/05/2021,25-49,32.3,10.71
123,Austria,28/05/2021,50-59,53.67,15.82
124,Austria,28/05/2021,60-69,73.91,23.3
125,Austria,28/05/2021,70-79,76.51,42.89
126,Austria,28/05/2021,80+,95.58,82.46
127,Austria,4/06/2021,18-24,23.96,8.27
128,Austria,4/06/2021,25-49,37.8,13.3
129,Austria,4/06/2021,50-59,58.78,20.01
130,Austria,4/06/2021,60-69,76.38,31.23
131,Austria,4/06/2021,70-79,77.46,49.8
132,Austria,4/06/2021,80+,96.21,83.95
133,Austria,11/06/2021,18-24,29.34,10.1
134,Austria,11/06/2021,25-49,42.97,16.56
135,Austria,11/06/2021,50-59,63.59,26.27
136,Austria,11/06/2021,60-69,77.87,42.21
137,Austria,11/06/2021,70-79,78.19,54.47
138,Austria,11/06/2021,80+,96.74,86.45
139,Austria,18/06/2021,18-24,34.08,12.42
140,Austria,18/06/2021,25-49,47.6,20.07
141,Austria,18/06/2021,50-59,66.48,33.05
142,Austria,18/06/2021,60-69,79.24,51.21
143,Austria,18/06/2021,70-79,78.93,58.96
144,Austria,18/06/2021,80+,97.3,88.64
145,Austria,25/06/2021,18-24,38.47,15.13
146,Austria,25/06/2021,25-49,51.57,24.44
147,Austria,25/06/2021,50-59,67.99,42.26
148,Austria,25/06/2021,60-69,80.17,58.22
149,Austria,25/06/2021,70-79,79.47,65.03
150,Austria,25/06/2021,80+,97.73,90.68
151,Austria,2/07/2021,18-24,43.21,19.81
152,Austria,2/07/2021,25-49,54.92,30.07
153,Austria,2/07/2021,50-59,69.46,49.49
154,Austria,2/07/2021,60-69,81.1,66
155,Austria,2/07/2021,70-79,80.05,71.64
156,Austria,2/07/2021,80+,98.17,92.21
157,Austria,9/07/2021,18-24,48.11,24.76
158,Austria,9/07/2021,25-49,57.24,35.88
159,Austria,9/07/2021,50-59,70.58,54.91
160,Austria,9/07/2021,60-69,81.9,70.68
161,Austria,9/07/2021,70-79,80.52,74.7
162,Austria,9/07/2021,80+,98.54,93.24
163,Austria,16/07/2021,18-24,50.53,29.59
164,Austria,16/07/2021,25-49,58.68,41.39
165,Austria,16/07/2021,50-59,71.56,59.68
166,Austria,16/07/2021,60-69,82.63,74.55
167,Austria,16/07/2021,70-79,80.98,76.25
168,Austria,16/07/2021,80+,98.9,94.08
169,Austria,23/07/2021,18-24,52.57,35.07
170,Austria,23/07/2021,25-49,60,46.22
171,Austria,23/07/2021,50-59,72.43,64.14
172,Austria,23/07/2021,60-69,83.29,76.82
173,Austria,23/07/2021,70-79,81.42,77.25
174,Austria,23/07/2021,80+,99.26,94.77
175,Austria,30/07/2021,18-24,53.76,40.28
176,Austria,30/07/2021,25-49,60.75,50.62
177,Austria,30/07/2021,50-59,72.95,66.74
178,Austria,30/07/2021,60-69,83.72,78.73
179,Austria,30/07/2021,70-79,81.7,78.1
180,Austria,30/07/2021,80+,99.52,95.38
181,Austria,6/08/2021,18-24,54.87,44.49
182,Austria,6/08/2021,25-49,61.5,54.49
183,Austria,6/08/2021,50-59,73.49,68.63
184,Austria,6/08/2021,60-69,84.15,80.16
185,Austria,6/08/2021,70-79,82,78.85
186,Austria,6/08/2021,80+,99.78,95.92
187,Austria,13/08/2021,18-24,55.59,47.82
188,Austria,13/08/2021,25-49,62,56.91
189,Austria,13/08/2021,50-59,73.87,69.86
190,Austria,13/08/2021,60-69,84.45,81.09
191,Austria,13/08/2021,70-79,82.21,79.44
192,Austria,13/08/2021,80+,99.97,96.38
193,Austria,20/08/2021,18-24,56.42,51.21
194,Austria,20/08/2021,25-49,62.62,58.54
195,Austria,20/08/2021,50-59,74.31,70.85
196,Austria,20/08/2021,60-69,84.8,81.84
197,Austria,20/08/2021,70-79,82.45,79.92
198,Austria,20/08/2021,80+,100.2,96.74
199,Austria,27/08/2021,18-24,57.32,52.58
200,Austria,27/08/2021,25-49,63.26,59.44
201,Austria,27/08/2021,50-59,74.76,71.43
202,Austria,27/08/2021,60-69,85.15,82.3
203,Austria,27/08/2021,70-79,82.69,80.23
204,Austria,27/08/2021,80+,100.43,96.99
205,Austria,3/09/2021,18-24,58.26,53.61
206,Austria,3/09/2021,25-49,63.92,60.16
207,Austria,3/09/2021,50-59,75.2,71.92
208,Austria,3/09/2021,60-69,85.48,82.69
209,Austria,3/09/2021,70-79,82.91,80.48
210,Austria,3/09/2021,80+,100.64,97.23
211,Austria,10/09/2021,18-24,59.32,54.53
212,Austria,10/09/2021,25-49,64.68,60.82
213,Austria,10/09/2021,50-59,75.68,72.35
214,Austria,10/09/2021,60-69,85.83,83.02
215,Austria,10/09/2021,70-79,83.15,80.71
216,Austria,10/09/2021,80+,100.88,97.46
217,Austria,17/09/2021,18-24,60.48,55.46
218,Austria,17/09/2021,25-49,65.52,61.49
219,Austria,17/09/2021,50-59,76.21,72.77
220,Austria,17/09/2021,60-69,86.21,83.35
221,Austria,17/09/2021,70-79,83.4,80.93
222,Austria,17/09/2021,80+,101.17,97.69
223,Austria,24/09/2021,18-24,61.58,56.4
224,Austria,24/09/2021,25-49,66.31,62.16
225,Austria,24/09/2021,50-59,76.71,73.21
226,Austria,24/09/2021,60-69,86.56,83.67
227,Austria,24/09/2021,70-79,83.65,81.16
228,Austria,24/09/2021,80+,101.45,97.92
229,Austria,1/10/2021,18-24,62.46,57.26
230,Austria,1/10/2021,25-49,66.91,62.74
231,Austria,1/10/2021,50-59,77.08,73.56
232,Austria,1/10/2021,60-69,86.82,83.93
233,Austria,1/10/2021,70-79,83.83,81.34
234,Austria,1/10/2021,80+,101.68,98.12
235,Austria,8/10/2021,18-24,63.18,58.11
236,Austria,8/10/2021,25-49,67.38,63.33
237,Austria,8/10/2021,50-59,77.36,73.93
238,Austria,8/10/2021,60-69,87.03,84.21
239,Austria,8/10/2021,70-79,83.99,81.56
240,Austria,8/10/2021,80+,101.92,98.4
241,Austria,15/10/2021,18-24,63.75,58.9
242,Austria,15/10/2021,25-49,67.77,63.87
243,Austria,15/10/2021,50-59,77.59,74.26
244,Austria,15/10/2021,60-69,87.21,84.48
245,Austria,15/10/2021,70-79,84.11,81.77
246,Austria,15/10/2021,80+,102.11,98.64
247,Austria,22/10/2021,18-24,64.1,59.33
248,Austria,22/10/2021,25-49,68.02,64.19
249,Austria,22/10/2021,50-59,77.74,74.45
250,Austria,22/10/2021,60-69,87.31,84.64
251,Austria,22/10/2021,70-79,84.19,81.9
252,Austria,22/10/2021,80+,102.23,98.8
253,Belgium,8/01/2021,18-24,0.04,0
254,Belgium,8/01/2021,25-49,0.11,0
255,Belgium,8/01/2021,50-59,0.16,0
256,Belgium,8/01/2021,60-69,0.17,0
257,Belgium,8/01/2021,70-79,0.37,0
258,Belgium,8/01/2021,80+,2.3,0
259,Belgium,15/01/2021,18-24,0.24,0
260,Belgium,15/01/2021,25-49,0.53,0
261,Belgium,15/01/2021,50-59,0.75,0
262,Belgium,15/01/2021,60-69,0.71,0
263,Belgium,15/01/2021,70-79,1.58,0
264,Belgium,15/01/2021,80+,10.51,0
265,Belgium,22/01/2021,18-24,0.99,0
266,Belgium,22/01/2021,25-49,1.63,0
267,Belgium,22/01/2021,50-59,2.04,0.01
268,Belgium,22/01/2021,60-69,1.62,0.01
269,Belgium,22/01/2021,70-79,2.61,0.01
270,Belgium,22/01/2021,80+,15.15,0.07
271,Belgium,29/01/2021,18-24,1.53,0.04
272,Belgium,29/01/2021,25-49,2.38,0.11
273,Belgium,29/01/2021,50-59,2.89,0.16
274,Belgium,29/01/2021,60-69,2.16,0.16
275,Belgium,29/01/2021,70-79,3.04,0.36
276,Belgium,29/01/2021,80+,16.41,2.14
277,Belgium,5/02/2021,18-24,1.82,0.23
278,Belgium,5/02/2021,25-49,2.92,0.51
279,Belgium,5/02/2021,50-59,3.49,0.73
280,Belgium,5/02/2021,60-69,2.55,0.69
281,Belgium,5/02/2021,70-79,3.26,1.51
282,Belgium,5/02/2021,80+,17.04,9.96
283,Belgium,12/02/2021,18-24,2.02,0.92
284,Belgium,12/02/2021,25-49,3.32,1.5
285,Belgium,12/02/2021,50-59,4,1.92
286,Belgium,12/02/2021,60-69,2.85,1.56
287,Belgium,12/02/2021,70-79,3.41,2.52
288,Belgium,12/02/2021,80+,17.36,14.47
289,Belgium,19/02/2021,18-24,2.46,1.47
290,Belgium,19/02/2021,25-49,4.01,2.27
291,Belgium,19/02/2021,50-59,4.73,2.79
292,Belgium,19/02/2021,60-69,3.19,2.1
293,Belgium,19/02/2021,70-79,3.55,2.94
294,Belgium,19/02/2021,80+,17.5,15.73
295,Belgium,26/02/2021,18-24,3.18,1.72
296,Belgium,26/02/2021,25-49,5.38,2.7
297,Belgium,26/02/2021,50-59,6.14,3.27
298,Belgium,26/02/2021,60-69,3.66,2.41
299,Belgium,26/02/2021,70-79,3.71,3.16
300,Belgium,26/02/2021,80+,17.63,16.4
301,Belgium,5/03/2021,18-24,4.39,1.92
302,Belgium,5/03/2021,25-49,7.28,3.12
303,Belgium,5/03/2021,50-59,8.12,3.76
304,Belgium,5/03/2021,60-69,4.62,2.7
305,Belgium,5/03/2021,70-79,4.36,3.29
306,Belgium,5/03/2021,80+,18.74,16.7
307,Belgium,12/03/2021,18-24,5.49,2.32
308,Belgium,12/03/2021,25-49,8.84,3.73
309,Belgium,12/03/2021,50-59,9.82,4.46
310,Belgium,12/03/2021,60-69,6.3,3.12
311,Belgium,12/03/2021,70-79,6.04,3.45
312,Belgium,12/03/2021,80+,20.79,16.88
313,Belgium,19/03/2021,18-24,6.47,2.83
314,Belgium,19/03/2021,25-49,9.85,4.47
315,Belgium,19/03/2021,50-59,11.29,5.37
316,Belgium,19/03/2021,60-69,8.64,3.59
317,Belgium,19/03/2021,70-79,11.31,3.62
318,Belgium,19/03/2021,80+,33.98,17.04
319,Belgium,26/03/2021,18-24,7.02,3.35
320,Belgium,26/03/2021,25-49,10.49,5.17
321,Belgium,26/03/2021,50-59,12.19,6.31
322,Belgium,26/03/2021,60-69,10.48,4.28
323,Belgium,26/03/2021,70-79,18.55,4.11
324,Belgium,26/03/2021,80+,51.62,18.05
325,Belgium,2/04/2021,18-24,7.4,3.81
326,Belgium,2/04/2021,25-49,11.01,5.69
327,Belgium,2/04/2021,50-59,12.9,7.21
328,Belgium,2/04/2021,60-69,12.45,5.39
329,Belgium,2/04/2021,70-79,26.49,4.96
330,Belgium,2/04/2021,80+,73.72,19.05
331,Belgium,9/04/2021,18-24,7.73,4.07
332,Belgium,9/04/2021,25-49,11.45,6.02
333,Belgium,9/04/2021,50-59,13.73,7.65
334,Belgium,9/04/2021,60-69,17.43,6.02
335,Belgium,9/04/2021,70-79,52.46,6.32
336,Belgium,9/04/2021,80+,80.78,21.41
337,Belgium,16/04/2021,18-24,8.21,4.26
338,Belgium,16/04/2021,25-49,11.87,6.26
339,Belgium,16/04/2021,50-59,15.3,7.98
340,Belgium,16/04/2021,60-69,25.25,6.63
341,Belgium,16/04/2021,70-79,77.8,8.34
342,Belgium,16/04/2021,80+,83.2,28.97
343,Belgium,23/04/2021,18-24,8.77,4.39
344,Belgium,23/04/2021,25-49,12.48,6.43
345,Belgium,23/04/2021,50-59,18.99,8.16
346,Belgium,23/04/2021,60-69,40.61,6.98
347,Belgium,23/04/2021,70-79,88.24,9.22
348,Belgium,23/04/2021,80+,84.37,29.66
349,Belgium,30/04/2021,18-24,9.38,4.61
350,Belgium,30/04/2021,25-49,13.34,6.71
351,Belgium,30/04/2021,50-59,23.9,8.59
352,Belgium,30/04/2021,60-69,57.45,8.09
353,Belgium,30/04/2021,70-79,90.01,12.9
354,Belgium,30/04/2021,80+,85.44,32.73
355,Belgium,7/05/2021,18-24,10.01,4.93
356,Belgium,7/05/2021,25-49,15.68,7.19
357,Belgium,7/05/2021,50-59,32.82,9.5
358,Belgium,7/05/2021,60-69,75.23,10.33
359,Belgium,7/05/2021,70-79,91.47,20.28
360,Belgium,7/05/2021,80+,86.69,51.62
361,Belgium,14/05/2021,18-24,10.69,5.32
362,Belgium,14/05/2021,25-49,18.69,7.75
363,Belgium,14/05/2021,50-59,41.14,10.45
364,Belgium,14/05/2021,60-69,79.33,12.95
365,Belgium,14/05/2021,70-79,92.33,40.11
366,Belgium,14/05/2021,80+,87.37,56.73
367,Belgium,21/05/2021,18-24,11.34,6.37
368,Belgium,21/05/2021,25-49,22.87,9.3
369,Belgium,21/05/2021,50-59,56.62,13.04
370,Belgium,21/05/2021,60-69,82.18,19.2
371,Belgium,21/05/2021,70-79,92.97,52.43
372,Belgium,21/05/2021,80+,88.03,58.79
373,Belgium,28/05/2021,18-24,12.27,7.57
374,Belgium,28/05/2021,25-49,26.88,11.4
375,Belgium,28/05/2021,50-59,60.44,17.83
376,Belgium,28/05/2021,60-69,84.03,31.31
377,Belgium,28/05/2021,70-79,93.29,60.58
378,Belgium,28/05/2021,80+,88.39,60.23
379,Belgium,4/06/2021,18-24,14.37,8.72
380,Belgium,4/06/2021,25-49,32.94,13.79
381,Belgium,4/06/2021,50-59,71.64,23.26
382,Belgium,4/06/2021,60-69,89.1,46.3
383,Belgium,4/06/2021,70-79,93.71,62.97
384,Belgium,4/06/2021,80+,88.84,62.54
385,Belgium,11/06/2021,18-24,17.39,9.95
386,Belgium,11/06/2021,25-49,41.05,16.86
387,Belgium,11/06/2021,50-59,83.23,32.5
388,Belgium,11/06/2021,60-69,90.45,60.66
389,Belgium,11/06/2021,70-79,94.05,67.37
390,Belgium,11/06/2021,80+,89.17,73.42
391,Belgium,18/06/2021,18-24,24.31,11.1
392,Belgium,18/06/2021,25-49,56.39,20.91
393,Belgium,18/06/2021,50-59,85.75,39.1
394,Belgium,18/06/2021,60-69,91,64.78
395,Belgium,18/06/2021,70-79,94.33,70.65
396,Belgium,18/06/2021,80+,89.45,80.78
397,Belgium,25/06/2021,18-24,37.85,14.09
398,Belgium,25/06/2021,25-49,67.86,24.53
399,Belgium,25/06/2021,50-59,86.53,44.47
400,Belgium,25/06/2021,60-69,91.34,67.08
401,Belgium,25/06/2021,70-79,94.53,73.24
402,Belgium,25/06/2021,80+,89.65,84.43
403,Belgium,2/07/2021,18-24,51.77,16.31
404,Belgium,2/07/2021,25-49,74.19,28.16
405,Belgium,2/07/2021,50-59,87,48.41
406,Belgium,2/07/2021,60-69,91.59,70.75
407,Belgium,2/07/2021,70-79,94.7,77.46
408,Belgium,2/07/2021,80+,89.79,86.09
409,Belgium,9/07/2021,18-24,61.63,19.27
410,Belgium,9/07/2021,25-49,75.53,34.85
411,Belgium,9/07/2021,50-59,87.38,59.54
412,Belgium,9/07/2021,60-69,91.83,79.59
413,Belgium,9/07/2021,70-79,94.91,90.18
414,Belgium,9/07/2021,80+,89.96,87.13
415,Belgium,16/07/2021,18-24,67.7,23.28
416,Belgium,16/07/2021,25-49,76.58,42.78
417,Belgium,16/07/2021,50-59,87.82,73.33
418,Belgium,16/07/2021,60-69,92.16,84.09
419,Belgium,16/07/2021,70-79,95.2,92.72
420,Belgium,16/07/2021,80+,90.21,87.65
421,Belgium,23/07/2021,18-24,69.75,30.92
422,Belgium,23/07/2021,25-49,77.23,55.67
423,Belgium,23/07/2021,50-59,88.18,77.75
424,Belgium,23/07/2021,60-69,92.41,87.3
425,Belgium,23/07/2021,70-79,95.38,93.47
426,Belgium,23/07/2021,80+,90.38,88.05
427,Belgium,30/07/2021,18-24,71,42.37
428,Belgium,30/07/2021,25-49,77.83,66.38
429,Belgium,30/07/2021,50-59,88.51,80.81
430,Belgium,30/07/2021,60-69,92.62,90.33
431,Belgium,30/07/2021,70-79,95.53,94.04
432,Belgium,30/07/2021,80+,90.51,88.41
433,Belgium,6/08/2021,18-24,72.18,54.51
434,Belgium,6/08/2021,25-49,78.48,72.98
435,Belgium,6/08/2021,50-59,88.84,83.16
436,Belgium,6/08/2021,60-69,92.84,91.23
437,Belgium,6/08/2021,70-79,95.68,94.45
438,Belgium,6/08/2021,80+,90.61,88.66
439,Belgium,13/08/2021,18-24,73.12,63.15
440,Belgium,13/08/2021,25-49,79.05,75.54
441,Belgium,13/08/2021,50-59,89.11,87.42
442,Belgium,13/08/2021,60-69,92.99,91.96
443,Belgium,13/08/2021,70-79,95.79,94.75
444,Belgium,13/08/2021,80+,90.7,88.87
445,Belgium,20/08/2021,18-24,73.9,68.23
446,Belgium,20/08/2021,25-49,79.55,76.61
447,Belgium,20/08/2021,50-59,89.29,87.91
448,Belgium,20/08/2021,60-69,93.09,92.21
449,Belgium,20/08/2021,70-79,95.87,94.91
450,Belgium,20/08/2021,80+,90.76,88.99
451,Belgium,27/08/2021,18-24,74.68,70.43
452,Belgium,27/08/2021,25-49,80.03,77.47
453,Belgium,27/08/2021,50-59,89.45,88.33
454,Belgium,27/08/2021,60-69,93.18,92.44
455,Belgium,27/08/2021,70-79,95.93,95.09
456,Belgium,27/08/2021,80+,90.82,89.12
457,Belgium,3/09/2021,18-24,75.49,71.72
458,Belgium,3/09/2021,25-49,80.5,78.17
459,Belgium,3/09/2021,50-59,89.6,88.65
460,Belgium,3/09/2021,60-69,93.26,92.6
461,Belgium,3/09/2021,70-79,95.99,95.2
462,Belgium,3/09/2021,80+,90.86,89.2
463,Belgium,10/09/2021,18-24,76.14,72.62
464,Belgium,10/09/2021,25-49,80.87,78.71
465,Belgium,10/09/2021,50-59,89.74,88.85
466,Belgium,10/09/2021,60-69,93.33,92.71
467,Belgium,10/09/2021,70-79,96.04,95.28
468,Belgium,10/09/2021,80+,90.9,89.25
469,Belgium,17/09/2021,18-24,76.76,73.49
470,Belgium,17/09/2021,25-49,81.2,79.24
471,Belgium,17/09/2021,50-59,89.86,89.04
472,Belgium,17/09/2021,60-69,93.4,92.8
473,Belgium,17/09/2021,70-79,96.09,95.35
474,Belgium,17/09/2021,80+,90.94,89.29
475,Belgium,24/09/2021,18-24,77.46,74.35
476,Belgium,24/09/2021,25-49,81.57,79.76
477,Belgium,24/09/2021,50-59,90.02,89.23
478,Belgium,24/09/2021,60-69,93.49,92.91
479,Belgium,24/09/2021,70-79,96.15,95.42
480,Belgium,24/09/2021,80+,90.99,89.34
481,Belgium,1/10/2021,18-24,78.1,75.19
482,Belgium,1/10/2021,25-49,81.92,80.24
483,Belgium,1/10/2021,50-59,90.15,89.4
484,Belgium,1/10/2021,60-69,93.58,92.99
485,Belgium,1/10/2021,70-79,96.21,95.48
486,Belgium,1/10/2021,80+,91.03,89.39
487,Belgium,8/10/2021,18-24,78.6,75.78
488,Belgium,8/10/2021,25-49,82.18,80.56
489,Belgium,8/10/2021,50-59,90.26,89.52
490,Belgium,8/10/2021,60-69,93.65,93.06
491,Belgium,8/10/2021,70-79,96.26,95.53
492,Belgium,8/10/2021,80+,91.08,89.45
493,Belgium,15/10/2021,18-24,79.03,76.4
494,Belgium,15/10/2021,25-49,82.41,80.88
495,Belgium,15/10/2021,50-59,90.35,89.65
496,Belgium,15/10/2021,60-69,93.71,93.14
497,Belgium,15/10/2021,70-79,96.3,95.59
498,Belgium,15/10/2021,80+,91.14,89.53
499,Belgium,22/10/2021,18-24,79.15,76.53
500,Belgium,22/10/2021,25-49,82.48,80.96
501,Belgium,22/10/2021,50-59,90.38,89.68
502,Belgium,22/10/2021,60-69,93.73,93.15
503,Belgium,22/10/2021,70-79,96.32,95.6
504,Belgium,22/10/2021,80+,91.15,89.55
505,Bulgaria,8/01/2021,18-24,0.04,0
506,Bulgaria,8/01/2021,25-49,0.18,0
507,Bulgaria,8/01/2021,50-59,0.46,0
508,Bulgaria,8/01/2021,60-69,0.39,0
509,Bulgaria,8/01/2021,70-79,0.12,0
510,Bulgaria,8/01/2021,80+,0.04,0
511,Bulgaria,15/01/2021,18-24,0.05,0
512,Bulgaria,15/01/2021,25-49,0.24,0
513,Bulgaria,15/01/2021,50-59,0.62,0
514,Bulgaria,15/01/2021,60-69,0.53,0
515,Bulgaria,15/01/2021,70-79,0.17,0
516,Bulgaria,15/01/2021,80+,0.06,0
517,Bulgaria,22/01/2021,18-24,0.06,0.01
518,Bulgaria,22/01/2021,25-49,0.29,0.06
519,Bulgaria,22/01/2021,50-59,0.72,0.17
520,Bulgaria,22/01/2021,60-69,0.63,0.13
521,Bulgaria,22/01/2021,70-79,0.2,0.04
522,Bulgaria,22/01/2021,80+,0.07,0.01
523,Bulgaria,29/01/2021,18-24,0.07,0.04
524,Bulgaria,29/01/2021,25-49,0.37,0.17
525,Bulgaria,29/01/2021,50-59,0.91,0.45
526,Bulgaria,29/01/2021,60-69,0.82,0.38
527,Bulgaria,29/01/2021,70-79,0.29,0.12
528,Bulgaria,29/01/2021,80+,0.12,0.04
529,Bulgaria,5/02/2021,18-24,0.1,0.05
530,Bulgaria,5/02/2021,25-49,0.51,0.23
531,Bulgaria,5/02/2021,50-59,1.29,0.59
532,Bulgaria,5/02/2021,60-69,1.13,0.51
533,Bulgaria,5/02/2021,70-79,0.42,0.16
534,Bulgaria,5/02/2021,80+,0.31,0.05
535,Bulgaria,12/02/2021,18-24,0.13,0.06
536,Bulgaria,12/02/2021,25-49,0.75,0.27
537,Bulgaria,12/02/2021,50-59,1.8,0.69
538,Bulgaria,12/02/2021,60-69,1.47,0.61
539,Bulgaria,12/02/2021,70-79,0.52,0.2
540,Bulgaria,12/02/2021,80+,0.41,0.06
541,Bulgaria,19/02/2021,18-24,0.32,0.07
542,Bulgaria,19/02/2021,25-49,1.37,0.35
543,Bulgaria,19/02/2021,50-59,2.88,0.88
544,Bulgaria,19/02/2021,60-69,2.29,0.79
545,Bulgaria,19/02/2021,70-79,0.95,0.28
546,Bulgaria,19/02/2021,80+,0.71,0.12
547,Bulgaria,26/02/2021,18-24,0.71,0.09
548,Bulgaria,26/02/2021,25-49,2.28,0.48
549,Bulgaria,26/02/2021,50-59,4.57,1.21
550,Bulgaria,26/02/2021,60-69,4.52,1.07
