ID,location,date,vaccine,total_vaccinations
6206,Germany,1/10/2021,Oxford/AstraZeneca,12694006
6207,Germany,1/10/2021,Pfizer/BioNTech,82536086
6208,Germany,2/10/2021,Johnson&Johnson,3203532
6209,Germany,2/10/2021,Moderna,9680128
6210,Germany,2/10/2021,Oxford/AstraZeneca,12694075
6211,Germany,2/10/2021,Pfizer/BioNTech,82562779
6212,Germany,3/10/2021,Johnson&Johnson,3204574
6213,Germany,3/10/2021,Moderna,9681266
6214,Germany,3/10/2021,Oxford/AstraZeneca,12694108
6215,Germany,3/10/2021,Pfizer/BioNTech,82574391
6216,Germany,4/10/2021,Johnson&Johnson,3209471
6217,Germany,4/10/2021,Moderna,9684695
6218,Germany,4/10/2021,Oxford/AstraZeneca,12694840
6219,Germany,4/10/2021,Pfizer/BioNTech,82660441
6220,Germany,5/10/2021,Johnson&Johnson,3214894
6221,Germany,5/10/2021,Moderna,9688087
6222,Germany,5/10/2021,Oxford/AstraZeneca,12695688
6223,Germany,5/10/2021,Pfizer/BioNTech,82832508
6224,Germany,6/10/2021,Johnson&Johnson,3220847
6225,Germany,6/10/2021,Moderna,9692062
6226,Germany,6/10/2021,Oxford/AstraZeneca,12696054
6227,Germany,6/10/2021,Pfizer/BioNTech,83025617
6228,Germany,7/10/2021,Johnson&Johnson,3227580
6229,Germany,7/10/2021,Moderna,9696191
6230,Germany,7/10/2021,Oxford/AstraZeneca,12696302
6231,Germany,7/10/2021,Pfizer/BioNTech,83224336
6232,Germany,8/10/2021,Johnson&Johnson,3234288
6233,Germany,8/10/2021,Moderna,9700311
6234,Germany,8/10/2021,Oxford/AstraZeneca,12697757
6235,Germany,8/10/2021,Pfizer/BioNTech,83393258
6236,Germany,9/10/2021,Johnson&Johnson,3237459
6237,Germany,9/10/2021,Moderna,9702617
6238,Germany,9/10/2021,Oxford/AstraZeneca,12697784
6239,Germany,9/10/2021,Pfizer/BioNTech,83427706
6240,Germany,10/10/2021,Johnson&Johnson,3238841
6241,Germany,10/10/2021,Moderna,9703470
6242,Germany,10/10/2021,Oxford/AstraZeneca,12697795
6243,Germany,10/10/2021,Pfizer/BioNTech,83442543
6244,Germany,11/10/2021,Johnson&Johnson,3242633
6245,Germany,11/10/2021,Moderna,9706787
6246,Germany,11/10/2021,Oxford/AstraZeneca,12698275
6247,Germany,11/10/2021,Pfizer/BioNTech,83529307
6248,Germany,12/10/2021,Johnson&Johnson,3247304
6249,Germany,12/10/2021,Moderna,9711655
6250,Germany,12/10/2021,Oxford/AstraZeneca,12699058
6251,Germany,12/10/2021,Pfizer/BioNTech,83695988
6252,Germany,13/10/2021,Johnson&Johnson,3252027
6253,Germany,13/10/2021,Moderna,9716747
6254,Germany,13/10/2021,Oxford/AstraZeneca,12699302
6255,Germany,13/10/2021,Pfizer/BioNTech,83889203
6256,Germany,14/10/2021,Johnson&Johnson,3257086
6257,Germany,14/10/2021,Moderna,9721896
6258,Germany,14/10/2021,Oxford/AstraZeneca,12699523
6259,Germany,14/10/2021,Pfizer/BioNTech,84083831
6260,Germany,15/10/2021,Johnson&Johnson,3262213
6261,Germany,15/10/2021,Moderna,9727050
6262,Germany,15/10/2021,Oxford/AstraZeneca,12699901
6263,Germany,15/10/2021,Pfizer/BioNTech,84240720
6264,Germany,16/10/2021,Johnson&Johnson,3264762
6265,Germany,16/10/2021,Moderna,9729522
6266,Germany,16/10/2021,Oxford/AstraZeneca,12699939
6267,Germany,16/10/2021,Pfizer/BioNTech,84275211
6268,Germany,17/10/2021,Johnson&Johnson,3265774
6269,Germany,17/10/2021,Moderna,9731678
6270,Germany,17/10/2021,Oxford/AstraZeneca,12699970
6271,Germany,17/10/2021,Pfizer/BioNTech,84288401
6272,Germany,18/10/2021,Johnson&Johnson,3268659
6273,Germany,18/10/2021,Moderna,9735187
6274,Germany,18/10/2021,Oxford/AstraZeneca,12700079
6275,Germany,18/10/2021,Pfizer/BioNTech,84371310
6276,Germany,19/10/2021,Johnson&Johnson,3272572
6277,Germany,19/10/2021,Moderna,9739923
6278,Germany,19/10/2021,Oxford/AstraZeneca,12700289
6279,Germany,19/10/2021,Pfizer/BioNTech,84536399
6280,Germany,20/10/2021,Johnson&Johnson,3276516
6281,Germany,20/10/2021,Moderna,9744466
6282,Germany,20/10/2021,Oxford/AstraZeneca,12700446
6283,Germany,20/10/2021,Pfizer/BioNTech,84726392
6284,Germany,21/10/2021,Johnson&Johnson,3280575
6285,Germany,21/10/2021,Moderna,9748724
6286,Germany,21/10/2021,Oxford/AstraZeneca,12700646
6287,Germany,21/10/2021,Pfizer/BioNTech,84918697
6288,Germany,22/10/2021,Johnson&Johnson,3284486
6289,Germany,22/10/2021,Moderna,9753339
6290,Germany,22/10/2021,Oxford/AstraZeneca,12700903
6291,Germany,22/10/2021,Pfizer/BioNTech,85062981
6292,Germany,23/10/2021,Johnson&Johnson,3286516
6293,Germany,23/10/2021,Moderna,9756191
6294,Germany,23/10/2021,Oxford/AstraZeneca,12700966
6295,Germany,23/10/2021,Pfizer/BioNTech,85097589
6296,Germany,24/10/2021,Johnson&Johnson,3287249
6297,Germany,24/10/2021,Moderna,9756895
6298,Germany,24/10/2021,Oxford/AstraZeneca,12700973
6299,Germany,24/10/2021,Pfizer/BioNTech,85109165
6300,Germany,25/10/2021,Johnson&Johnson,3289690
6301,Germany,25/10/2021,Moderna,9760028
6302,Germany,25/10/2021,Oxford/AstraZeneca,12701679
6303,Germany,25/10/2021,Pfizer/BioNTech,85198956
6304,Hong Kong,22/02/2021,Pfizer/BioNTech,0
6305,Hong Kong,22/02/2021,Sinovac,47
6306,Hong Kong,23/02/2021,Pfizer/BioNTech,0
6307,Hong Kong,23/02/2021,Sinovac,579
6308,Hong Kong,24/02/2021,Pfizer/BioNTech,0
6309,Hong Kong,24/02/2021,Sinovac,579
6310,Hong Kong,25/02/2021,Pfizer/BioNTech,0
6311,Hong Kong,25/02/2021,Sinovac,579
6312,Hong Kong,26/02/2021,Pfizer/BioNTech,0
6313,Hong Kong,26/02/2021,Sinovac,6645
6314,Hong Kong,27/02/2021,Pfizer/BioNTech,0
6315,Hong Kong,27/02/2021,Sinovac,13685
6316,Hong Kong,28/02/2021,Pfizer/BioNTech,0
6317,Hong Kong,28/02/2021,Sinovac,20701
6318,Hong Kong,1/03/2021,Pfizer/BioNTech,0
6319,Hong Kong,1/03/2021,Sinovac,27109
6320,Hong Kong,2/03/2021,Pfizer/BioNTech,0
6321,Hong Kong,2/03/2021,Sinovac,40180
6322,Hong Kong,3/03/2021,Pfizer/BioNTech,0
6323,Hong Kong,3/03/2021,Sinovac,51848
6324,Hong Kong,4/03/2021,Pfizer/BioNTech,0
6325,Hong Kong,4/03/2021,Sinovac,62237
6326,Hong Kong,5/03/2021,Pfizer/BioNTech,0
6327,Hong Kong,5/03/2021,Sinovac,72375
6328,Hong Kong,6/03/2021,Pfizer/BioNTech,336
6329,Hong Kong,6/03/2021,Sinovac,83697
6330,Hong Kong,7/03/2021,Pfizer/BioNTech,1207
6331,Hong Kong,7/03/2021,Sinovac,91819
6332,Hong Kong,8/03/2021,Pfizer/BioNTech,2130
6333,Hong Kong,8/03/2021,Sinovac,101721
6334,Hong Kong,9/03/2021,Pfizer/BioNTech,3008
6335,Hong Kong,9/03/2021,Sinovac,110519
6336,Hong Kong,10/03/2021,Pfizer/BioNTech,9028
6337,Hong Kong,10/03/2021,Sinovac,121521
6338,Hong Kong,11/03/2021,Pfizer/BioNTech,14791
6339,Hong Kong,11/03/2021,Sinovac,131118
6340,Hong Kong,12/03/2021,Pfizer/BioNTech,21519
6341,Hong Kong,12/03/2021,Sinovac,140713
6342,Hong Kong,13/03/2021,Pfizer/BioNTech,27845
6343,Hong Kong,13/03/2021,Sinovac,149268
6344,Hong Kong,14/03/2021,Pfizer/BioNTech,33525
6345,Hong Kong,14/03/2021,Sinovac,157208
6346,Hong Kong,15/03/2021,Pfizer/BioNTech,39922
6347,Hong Kong,15/03/2021,Sinovac,166174
6348,Hong Kong,16/03/2021,Pfizer/BioNTech,53021
6349,Hong Kong,16/03/2021,Sinovac,176402
6350,Hong Kong,17/03/2021,Pfizer/BioNTech,64373
6351,Hong Kong,17/03/2021,Sinovac,189649
6352,Hong Kong,18/03/2021,Pfizer/BioNTech,75151
6353,Hong Kong,18/03/2021,Sinovac,201496
6354,Hong Kong,19/03/2021,Pfizer/BioNTech,90960
6355,Hong Kong,19/03/2021,Sinovac,213292
6356,Hong Kong,20/03/2021,Pfizer/BioNTech,106003
6357,Hong Kong,20/03/2021,Sinovac,224617
6358,Hong Kong,21/03/2021,Pfizer/BioNTech,120739
6359,Hong Kong,21/03/2021,Sinovac,233701
6360,Hong Kong,22/03/2021,Pfizer/BioNTech,135824
6361,Hong Kong,22/03/2021,Sinovac,243870
6362,Hong Kong,23/03/2021,Pfizer/BioNTech,150244
6363,Hong Kong,23/03/2021,Sinovac,253281
6364,Hong Kong,24/03/2021,Pfizer/BioNTech,151325
6365,Hong Kong,24/03/2021,Sinovac,261975
6366,Hong Kong,25/03/2021,Pfizer/BioNTech,151325
6367,Hong Kong,25/03/2021,Sinovac,270195
6368,Hong Kong,26/03/2021,Pfizer/BioNTech,151325
6369,Hong Kong,26/03/2021,Sinovac,283912
6370,Hong Kong,27/03/2021,Pfizer/BioNTech,151325
6371,Hong Kong,27/03/2021,Sinovac,297952
6372,Hong Kong,28/03/2021,Pfizer/BioNTech,151325
6373,Hong Kong,28/03/2021,Sinovac,311126
6374,Hong Kong,29/03/2021,Pfizer/BioNTech,151325
6375,Hong Kong,29/03/2021,Sinovac,323797
6376,Hong Kong,30/03/2021,Pfizer/BioNTech,151325
6377,Hong Kong,30/03/2021,Sinovac,338992
6378,Hong Kong,31/03/2021,Pfizer/BioNTech,151325
6379,Hong Kong,31/03/2021,Sinovac,353772
6380,Hong Kong,1/04/2021,Pfizer/BioNTech,151325
6381,Hong Kong,1/04/2021,Sinovac,369049
6382,Hong Kong,2/04/2021,Pfizer/BioNTech,151325
6383,Hong Kong,2/04/2021,Sinovac,379909
6384,Hong Kong,3/04/2021,Pfizer/BioNTech,151325
6385,Hong Kong,3/04/2021,Sinovac,392658
6386,Hong Kong,4/04/2021,Pfizer/BioNTech,151983
6387,Hong Kong,4/04/2021,Sinovac,404084
6388,Hong Kong,5/04/2021,Pfizer/BioNTech,163728
6389,Hong Kong,5/04/2021,Sinovac,413504
6390,Hong Kong,6/04/2021,Pfizer/BioNTech,193565
6391,Hong Kong,6/04/2021,Sinovac,422434
6392,Hong Kong,7/04/2021,Pfizer/BioNTech,219537
6393,Hong Kong,7/04/2021,Sinovac,440247
6394,Hong Kong,8/04/2021,Pfizer/BioNTech,244598
6395,Hong Kong,8/04/2021,Sinovac,455704
6396,Hong Kong,9/04/2021,Pfizer/BioNTech,274283
6397,Hong Kong,9/04/2021,Sinovac,470751
6398,Hong Kong,10/04/2021,Pfizer/BioNTech,307577
6399,Hong Kong,10/04/2021,Sinovac,483972
6400,Hong Kong,11/04/2021,Pfizer/BioNTech,339562
6401,Hong Kong,11/04/2021,Sinovac,495329
6402,Hong Kong,12/04/2021,Pfizer/BioNTech,370268
6403,Hong Kong,12/04/2021,Sinovac,507974
6404,Hong Kong,13/04/2021,Pfizer/BioNTech,397768
6405,Hong Kong,13/04/2021,Sinovac,521184
6406,Hong Kong,14/04/2021,Pfizer/BioNTech,414247
6407,Hong Kong,14/04/2021,Sinovac,536862
6408,Hong Kong,15/04/2021,Pfizer/BioNTech,428957
6409,Hong Kong,15/04/2021,Sinovac,552135
6410,Hong Kong,16/04/2021,Pfizer/BioNTech,449248
6411,Hong Kong,16/04/2021,Sinovac,568598
6412,Hong Kong,17/04/2021,Pfizer/BioNTech,472580
6413,Hong Kong,17/04/2021,Sinovac,584690
6414,Hong Kong,18/04/2021,Pfizer/BioNTech,492448
6415,Hong Kong,18/04/2021,Sinovac,598653
6416,Hong Kong,19/04/2021,Pfizer/BioNTech,509676
6417,Hong Kong,19/04/2021,Sinovac,613897
6418,Hong Kong,20/04/2021,Pfizer/BioNTech,522584
6419,Hong Kong,20/04/2021,Sinovac,627074
6420,Hong Kong,21/04/2021,Pfizer/BioNTech,534068
6421,Hong Kong,21/04/2021,Sinovac,639031
6422,Hong Kong,22/04/2021,Pfizer/BioNTech,545794
6423,Hong Kong,22/04/2021,Sinovac,650855
6424,Hong Kong,23/04/2021,Pfizer/BioNTech,559087
6425,Hong Kong,23/04/2021,Sinovac,663794
6426,Hong Kong,24/04/2021,Pfizer/BioNTech,576257
6427,Hong Kong,24/04/2021,Sinovac,676812
6428,Hong Kong,25/04/2021,Pfizer/BioNTech,587132
6429,Hong Kong,25/04/2021,Sinovac,688048
6430,Hong Kong,26/04/2021,Pfizer/BioNTech,602961
6431,Hong Kong,26/04/2021,Sinovac,699242
6432,Hong Kong,27/04/2021,Pfizer/BioNTech,617999
6433,Hong Kong,27/04/2021,Sinovac,708873
6434,Hong Kong,28/04/2021,Pfizer/BioNTech,633052
6435,Hong Kong,28/04/2021,Sinovac,718705
6436,Hong Kong,29/04/2021,Pfizer/BioNTech,648990
6437,Hong Kong,29/04/2021,Sinovac,728522
6438,Hong Kong,30/04/2021,Pfizer/BioNTech,672911
6439,Hong Kong,30/04/2021,Sinovac,740872
6440,Hong Kong,1/05/2021,Pfizer/BioNTech,704169
6441,Hong Kong,1/05/2021,Sinovac,750254
6442,Hong Kong,2/05/2021,Pfizer/BioNTech,733052
6443,Hong Kong,2/05/2021,Sinovac,758889
6444,Hong Kong,3/05/2021,Pfizer/BioNTech,761225
6445,Hong Kong,3/05/2021,Sinovac,768439
6446,Hong Kong,4/05/2021,Pfizer/BioNTech,785883
6447,Hong Kong,4/05/2021,Sinovac,776964
6448,Hong Kong,5/05/2021,Pfizer/BioNTech,808170
6449,Hong Kong,5/05/2021,Sinovac,785453
6450,Hong Kong,6/05/2021,Pfizer/BioNTech,830518
6451,Hong Kong,6/05/2021,Sinovac,793546
6452,Hong Kong,7/05/2021,Pfizer/BioNTech,859909
6453,Hong Kong,7/05/2021,Sinovac,802464
6454,Hong Kong,8/05/2021,Pfizer/BioNTech,893098
6455,Hong Kong,8/05/2021,Sinovac,811363
6456,Hong Kong,9/05/2021,Pfizer/BioNTech,923249
6457,Hong Kong,9/05/2021,Sinovac,818431
6458,Hong Kong,10/05/2021,Pfizer/BioNTech,950164
6459,Hong Kong,10/05/2021,Sinovac,826403
6460,Hong Kong,11/05/2021,Pfizer/BioNTech,971048
6461,Hong Kong,11/05/2021,Sinovac,834029
6462,Hong Kong,12/05/2021,Pfizer/BioNTech,989519
6463,Hong Kong,12/05/2021,Sinovac,841345
6464,Hong Kong,13/05/2021,Pfizer/BioNTech,1007898
6465,Hong Kong,13/05/2021,Sinovac,848744
6466,Hong Kong,14/05/2021,Pfizer/BioNTech,1031159
6467,Hong Kong,14/05/2021,Sinovac,857465
6468,Hong Kong,15/05/2021,Pfizer/BioNTech,1060281
6469,Hong Kong,15/05/2021,Sinovac,865975
6470,Hong Kong,16/05/2021,Pfizer/BioNTech,1081908
6471,Hong Kong,16/05/2021,Sinovac,873177
6472,Hong Kong,17/05/2021,Pfizer/BioNTech,1101944
6473,Hong Kong,17/05/2021,Sinovac,882395
6474,Hong Kong,18/05/2021,Pfizer/BioNTech,1118321
6475,Hong Kong,18/05/2021,Sinovac,892059
6476,Hong Kong,19/05/2021,Pfizer/BioNTech,1129853
6477,Hong Kong,19/05/2021,Sinovac,896694
6478,Hong Kong,20/05/2021,Pfizer/BioNTech,1144807
6479,Hong Kong,20/05/2021,Sinovac,905523
6480,Hong Kong,21/05/2021,Pfizer/BioNTech,1165816
6481,Hong Kong,21/05/2021,Sinovac,915358
6482,Hong Kong,22/05/2021,Pfizer/BioNTech,1192545
6483,Hong Kong,22/05/2021,Sinovac,925279
6484,Hong Kong,23/05/2021,Pfizer/BioNTech,1213484
6485,Hong Kong,23/05/2021,Sinovac,933175
6486,Hong Kong,24/05/2021,Pfizer/BioNTech,1231669
6487,Hong Kong,24/05/2021,Sinovac,943369
6488,Hong Kong,25/05/2021,Pfizer/BioNTech,1246779
6489,Hong Kong,25/05/2021,Sinovac,953319
6490,Hong Kong,26/05/2021,Pfizer/BioNTech,1261012
6491,Hong Kong,26/05/2021,Sinovac,963163
6492,Hong Kong,27/05/2021,Pfizer/BioNTech,1276407
6493,Hong Kong,27/05/2021,Sinovac,973912
6494,Hong Kong,28/05/2021,Pfizer/BioNTech,1298638
6495,Hong Kong,28/05/2021,Sinovac,987678
6496,Hong Kong,29/05/2021,Pfizer/BioNTech,1326702
6497,Hong Kong,29/05/2021,Sinovac,1002155
6498,Hong Kong,30/05/2021,Pfizer/BioNTech,1349217
6499,Hong Kong,30/05/2021,Sinovac,1014816
6500,Hong Kong,31/05/2021,Pfizer/BioNTech,1369620
6501,Hong Kong,31/05/2021,Sinovac,1030882
6502,Hong Kong,1/06/2021,Pfizer/BioNTech,1386361
6503,Hong Kong,1/06/2021,Sinovac,1047703
6504,Hong Kong,2/06/2021,Pfizer/BioNTech,1402068
6505,Hong Kong,2/06/2021,Sinovac,1064496
6506,Hong Kong,3/06/2021,Pfizer/BioNTech,1420963
6507,Hong Kong,3/06/2021,Sinovac,1081819
6508,Hong Kong,4/06/2021,Pfizer/BioNTech,1447517
6509,Hong Kong,4/06/2021,Sinovac,1100216
6510,Hong Kong,5/06/2021,Pfizer/BioNTech,1480588
6511,Hong Kong,5/06/2021,Sinovac,1117661
6512,Hong Kong,6/06/2021,Pfizer/BioNTech,1506549
6513,Hong Kong,6/06/2021,Sinovac,1131036
6514,Hong Kong,7/06/2021,Pfizer/BioNTech,1529498
6515,Hong Kong,7/06/2021,Sinovac,1150237
6516,Hong Kong,8/06/2021,Pfizer/BioNTech,1547784
6517,Hong Kong,8/06/2021,Sinovac,1168431
6518,Hong Kong,9/06/2021,Pfizer/BioNTech,1563824
6519,Hong Kong,9/06/2021,Sinovac,1185256
6520,Hong Kong,10/06/2021,Pfizer/BioNTech,1584474
6521,Hong Kong,10/06/2021,Sinovac,1202838
6522,Hong Kong,11/06/2021,Pfizer/BioNTech,1614121
6523,Hong Kong,11/06/2021,Sinovac,1223625
6524,Hong Kong,12/06/2021,Pfizer/BioNTech,1649181
6525,Hong Kong,12/06/2021,Sinovac,1242709
6526,Hong Kong,13/06/2021,Pfizer/BioNTech,1677195
6527,Hong Kong,13/06/2021,Sinovac,1257195
6528,Hong Kong,14/06/2021,Pfizer/BioNTech,1697742
6529,Hong Kong,14/06/2021,Sinovac,1267137
6530,Hong Kong,15/06/2021,Pfizer/BioNTech,1720300
6531,Hong Kong,15/06/2021,Sinovac,1286101
6532,Hong Kong,16/06/2021,Pfizer/BioNTech,1739029
6533,Hong Kong,16/06/2021,Sinovac,1302831
6534,Hong Kong,17/06/2021,Pfizer/BioNTech,1759935
6535,Hong Kong,17/06/2021,Sinovac,1320827
6536,Hong Kong,18/06/2021,Pfizer/BioNTech,1790250
6537,Hong Kong,18/06/2021,Sinovac,1340843
6538,Hong Kong,19/06/2021,Pfizer/BioNTech,1824023
6539,Hong Kong,19/06/2021,Sinovac,1358682
6540,Hong Kong,20/06/2021,Pfizer/BioNTech,1849517
6541,Hong Kong,20/06/2021,Sinovac,1371147
6542,Hong Kong,21/06/2021,Pfizer/BioNTech,1876258
6543,Hong Kong,21/06/2021,Sinovac,1390409
6544,Hong Kong,22/06/2021,Pfizer/BioNTech,1897868
6545,Hong Kong,22/06/2021,Sinovac,1409796
6546,Hong Kong,23/06/2021,Pfizer/BioNTech,1920633
6547,Hong Kong,23/06/2021,Sinovac,1427715
6548,Hong Kong,24/06/2021,Pfizer/BioNTech,1948139
6549,Hong Kong,24/06/2021,Sinovac,1446633
6550,Hong Kong,25/06/2021,Pfizer/BioNTech,1983588
6551,Hong Kong,25/06/2021,Sinovac,1469127
6552,Hong Kong,26/06/2021,Pfizer/BioNTech,2021905
6553,Hong Kong,26/06/2021,Sinovac,1489369
6554,Hong Kong,27/06/2021,Pfizer/BioNTech,2056979
6555,Hong Kong,27/06/2021,Sinovac,1504500
6556,Hong Kong,28/06/2021,Pfizer/BioNTech,2087431
6557,Hong Kong,28/06/2021,Sinovac,1525594
6558,Hong Kong,29/06/2021,Pfizer/BioNTech,2118809
6559,Hong Kong,29/06/2021,Sinovac,1550284
6560,Hong Kong,30/06/2021,Pfizer/BioNTech,2154179
6561,Hong Kong,30/06/2021,Sinovac,1575178
6562,Hong Kong,1/07/2021,Pfizer/BioNTech,2188108
6563,Hong Kong,1/07/2021,Sinovac,1588900
6564,Hong Kong,2/07/2021,Pfizer/BioNTech,2230055
6565,Hong Kong,2/07/2021,Sinovac,1617068
6566,Hong Kong,3/07/2021,Pfizer/BioNTech,2269909
6567,Hong Kong,3/07/2021,Sinovac,1638937
6568,Hong Kong,4/07/2021,Pfizer/BioNTech,2307158
6569,Hong Kong,4/07/2021,Sinovac,1654636
6570,Hong Kong,5/07/2021,Pfizer/BioNTech,2344928
6571,Hong Kong,5/07/2021,Sinovac,1681509
6572,Hong Kong,6/07/2021,Pfizer/BioNTech,2379884
6573,Hong Kong,6/07/2021,Sinovac,1706410
6574,Hong Kong,7/07/2021,Pfizer/BioNTech,2413685
6575,Hong Kong,7/07/2021,Sinovac,1729883
6576,Hong Kong,8/07/2021,Pfizer/BioNTech,2452711
6577,Hong Kong,8/07/2021,Sinovac,1754609
6578,Hong Kong,9/07/2021,Pfizer/BioNTech,2495486
6579,Hong Kong,9/07/2021,Sinovac,1782082
6580,Hong Kong,10/07/2021,Pfizer/BioNTech,2537105
6581,Hong Kong,10/07/2021,Sinovac,1804607
6582,Hong Kong,11/07/2021,Pfizer/BioNTech,2576110
6583,Hong Kong,11/07/2021,Sinovac,1820642
6584,Hong Kong,12/07/2021,Pfizer/BioNTech,2616290
6585,Hong Kong,12/07/2021,Sinovac,1842223
6586,Hong Kong,13/07/2021,Pfizer/BioNTech,2653565
6587,Hong Kong,13/07/2021,Sinovac,1864740
6588,Hong Kong,14/07/2021,Pfizer/BioNTech,2690356
6589,Hong Kong,14/07/2021,Sinovac,1885250
6590,Hong Kong,15/07/2021,Pfizer/BioNTech,2730318
6591,Hong Kong,15/07/2021,Sinovac,1908656
6592,Hong Kong,16/07/2021,Pfizer/BioNTech,2773474
6593,Hong Kong,16/07/2021,Sinovac,1934484
6594,Hong Kong,17/07/2021,Pfizer/BioNTech,2815014
6595,Hong Kong,17/07/2021,Sinovac,1956398
6596,Hong Kong,18/07/2021,Pfizer/BioNTech,2854947
6597,Hong Kong,18/07/2021,Sinovac,1971784
6598,Hong Kong,19/07/2021,Pfizer/BioNTech,2896442
6599,Hong Kong,19/07/2021,Sinovac,1995437
6600,Hong Kong,20/07/2021,Pfizer/BioNTech,2936046
6601,Hong Kong,20/07/2021,Sinovac,2017533
6602,Hong Kong,21/07/2021,Pfizer/BioNTech,2976379
6603,Hong Kong,21/07/2021,Sinovac,2038017
6604,Hong Kong,22/07/2021,Pfizer/BioNTech,3018470
6605,Hong Kong,22/07/2021,Sinovac,2060191
6606,Hong Kong,23/07/2021,Pfizer/BioNTech,3063909
6607,Hong Kong,23/07/2021,Sinovac,2085536
6608,Hong Kong,24/07/2021,Pfizer/BioNTech,3107499
6609,Hong Kong,24/07/2021,Sinovac,2106492
6610,Hong Kong,25/07/2021,Pfizer/BioNTech,3149532
6611,Hong Kong,25/07/2021,Sinovac,2120466
6612,Hong Kong,26/07/2021,Pfizer/BioNTech,3193162
6613,Hong Kong,26/07/2021,Sinovac,2143553
6614,Hong Kong,27/07/2021,Pfizer/BioNTech,3236097
6615,Hong Kong,27/07/2021,Sinovac,2165499
6616,Hong Kong,28/07/2021,Pfizer/BioNTech,3277606
6617,Hong Kong,28/07/2021,Sinovac,2187207
6618,Hong Kong,29/07/2021,Pfizer/BioNTech,3320878
6619,Hong Kong,29/07/2021,Sinovac,2207019
6620,Hong Kong,30/07/2021,Pfizer/BioNTech,3365952
6621,Hong Kong,30/07/2021,Sinovac,2232241
6622,Hong Kong,31/07/2021,Pfizer/BioNTech,3410209
6623,Hong Kong,31/07/2021,Sinovac,2253010
6624,Hong Kong,1/08/2021,Pfizer/BioNTech,3452402
6625,Hong Kong,1/08/2021,Sinovac,2266606
6626,Hong Kong,2/08/2021,Pfizer/BioNTech,3496629
6627,Hong Kong,2/08/2021,Sinovac,2291427
6628,Hong Kong,3/08/2021,Pfizer/BioNTech,3540915
6629,Hong Kong,3/08/2021,Sinovac,2316059
6630,Hong Kong,4/08/2021,Pfizer/BioNTech,3585406
6631,Hong Kong,4/08/2021,Sinovac,2337001
6632,Hong Kong,5/08/2021,Pfizer/BioNTech,3631228
6633,Hong Kong,5/08/2021,Sinovac,2358372
6634,Hong Kong,6/08/2021,Pfizer/BioNTech,3678154
6635,Hong Kong,6/08/2021,Sinovac,2381975
6636,Hong Kong,7/08/2021,Pfizer/BioNTech,3723897
6637,Hong Kong,7/08/2021,Sinovac,2400841
6638,Hong Kong,8/08/2021,Pfizer/BioNTech,3768024
6639,Hong Kong,8/08/2021,Sinovac,2412095
6640,Hong Kong,9/08/2021,Pfizer/BioNTech,3814221
6641,Hong Kong,9/08/2021,Sinovac,2434610
6642,Hong Kong,10/08/2021,Pfizer/BioNTech,3860924
6643,Hong Kong,10/08/2021,Sinovac,2454726
6644,Hong Kong,11/08/2021,Pfizer/BioNTech,3907829
6645,Hong Kong,11/08/2021,Sinovac,2473314
6646,Hong Kong,12/08/2021,Pfizer/BioNTech,3954139
6647,Hong Kong,12/08/2021,Sinovac,2492993
6648,Hong Kong,13/08/2021,Pfizer/BioNTech,4001805
6649,Hong Kong,13/08/2021,Sinovac,2513845
6650,Hong Kong,14/08/2021,Pfizer/BioNTech,4048528
6651,Hong Kong,14/08/2021,Sinovac,2531191
6652,Hong Kong,15/08/2021,Pfizer/BioNTech,4092795
6653,Hong Kong,15/08/2021,Sinovac,2542272
6654,Hong Kong,16/08/2021,Pfizer/BioNTech,4138453
6655,Hong Kong,16/08/2021,Sinovac,2561649
6656,Hong Kong,17/08/2021,Pfizer/BioNTech,4182900
6657,Hong Kong,17/08/2021,Sinovac,2578634
6658,Hong Kong,18/08/2021,Pfizer/BioNTech,4226722
6659,Hong Kong,18/08/2021,Sinovac,2594826
6660,Hong Kong,19/08/2021,Pfizer/BioNTech,4269908
6661,Hong Kong,19/08/2021,Sinovac,2611281
6662,Hong Kong,20/08/2021,Pfizer/BioNTech,4314269
6663,Hong Kong,20/08/2021,Sinovac,2629998
6664,Hong Kong,21/08/2021,Pfizer/BioNTech,4357882
6665,Hong Kong,21/08/2021,Sinovac,2646033
6666,Hong Kong,22/08/2021,Pfizer/BioNTech,4398244
6667,Hong Kong,22/08/2021,Sinovac,2655929
6668,Hong Kong,23/08/2021,Pfizer/BioNTech,4439739
6669,Hong Kong,23/08/2021,Sinovac,2674279
6670,Hong Kong,24/08/2021,Pfizer/BioNTech,4480402
6671,Hong Kong,24/08/2021,Sinovac,2690591
6672,Hong Kong,25/08/2021,Pfizer/BioNTech,4520931
6673,Hong Kong,25/08/2021,Sinovac,2706414
6674,Hong Kong,26/08/2021,Pfizer/BioNTech,4563474
6675,Hong Kong,26/08/2021,Sinovac,2724562
6676,Hong Kong,27/08/2021,Pfizer/BioNTech,4607606
6677,Hong Kong,27/08/2021,Sinovac,2743522
6678,Hong Kong,28/08/2021,Pfizer/BioNTech,4651482
6679,Hong Kong,28/08/2021,Sinovac,2760521
6680,Hong Kong,29/08/2021,Pfizer/BioNTech,4692379
6681,Hong Kong,29/08/2021,Sinovac,2770721
6682,Hong Kong,30/08/2021,Pfizer/BioNTech,4735508
6683,Hong Kong,30/08/2021,Sinovac,2791535
